,previous_5_turn,question,next_5_turn,categorie
0,#spk4 : monsieur,depuis combien de temps habitez-vous Orléans ?,#spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à Orléans ? | #spk1 : oui et non | #spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais,préparé
1,#spk4 : monsieur | #spk4 : depuis combien de temps habitez-vous Orléans ? | #spk1 : oh ça fait neuf ans depuis dix neuf cent soixante,vous vous plaisez à  Orléans ?,#spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais | #spk4 : et est-ce que vous comptez rester à Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : Hm,préparé
2,#spk4 : monsieur | #spk4 : depuis combien de temps habitez-vous Orléans ? | #spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à  Orléans ? | #spk1 : oui et non,pourquoi ça ?,#spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais | #spk4 : et est-ce que vous comptez rester à Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 :,spontané
3,#spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à  Orléans ? | #spk1 : oui et non | #spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à  l'Orléanais,et est-ce que vous comptez rester à  Orléans ?,#spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 : | #spk4 : et qu'est ce que vous faites comme travail ? | #spk1 : je suis contrôleur divisionnaire aux PTT,préparé
4,#spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à  l'Orléanais | #spk4 : et est-ce que vous comptez rester à  Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 :  ,et qu'est ce que vous faites comme travail ?,#spk1 : je suis contrôleur divisionnaire aux PTT | #spk4 : hm hm // et en quoi ça consiste ? | #spk1 : euh c'est très vague // ben // c'est du travail de // c'est difficile à définir c'est du travail de contrôle euh // dans une // dans certaines euh // certaines branches du service euh postal quoi euh // et y y'a un peu de tout c'est difficile à définir ça | #spk4 : hm hm // mais | #spk4 : est est-ce que vous voulez bien me décrire une journée de travail ?,spontané
5,#spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 :  | #spk4 : et qu'est ce que vous faites comme travail ? | #spk1 : je suis contrôleur divisionnaire aux PTT,et en quoi ça consiste ?,#spk1 : euh c'est très vague // ben // c'est du travail de // c'est difficile à définir c'est du travail de contrôle euh // dans une // dans certaines euh // certaines branches du service euh postal quoi euh // et y y'a un peu de tout c'est difficile à définir ça | #spk4 : hm hm // mais | #spk4 : est est-ce que vous voulez bien me décrire une journée de travail ? | #spk1 : ah une journée de travail oui // alors euh // le matin je co- je commence à cinq heures // et // de // cinq heures à // vous voulez des détails de de | #spk1 spk4 : de ? // si si,spontané
6,#spk4 : et qu'est ce que vous faites comme travail ? | #spk1 : je suis contrôleur divisionnaire aux PTT | #spk4 : hm hm // et en quoi ça consiste ? | #spk1 : euh c'est très vague // ben // c'est du travail de // c'est difficile à  définir c'est du travail de contrôle euh // dans une // dans certaines euh // certaines branches du service euh postal quoi euh // et y y'a un peu de tout c'est difficile à  définir ça | #spk4 : hm hm // mais,est est-ce que vous voulez bien me décrire une journée de travail ?,#spk1 : ah une journée de travail oui // alors euh // le matin je co- je commence à cinq heures // et // de // cinq heures à // vous voulez des détails de de | #spk1 spk4 : de ? // si si | #spk1 spk4 : tous les détails ? // vous pouvez détailler | #spk1 : alors de cinq heures à huit heures // je fais du contrôle d'affranchissement | #spk4 : hm,préparé
7,#spk4 : hm hm // et en quoi ça consiste ? | #spk1 : euh c'est très vague // ben // c'est du travail de // c'est difficile à  définir c'est du travail de contrôle euh // dans une // dans certaines euh // certaines branches du service euh postal quoi euh // et y y'a un peu de tout c'est difficile à  définir ça | #spk4 : hm hm // mais | #spk4 : est est-ce que vous voulez bien me décrire une journée de travail ? | #spk1 : ah une journée de travail oui // alors euh // le matin je co- je commence à  cinq heures // et // de // cinq heures à  // vous voulez des détails de de,k4 : de ?,#spk1 spk4 : tous les détails ? // vous pouvez détailler | #spk1 : alors de cinq heures à huit heures // je fais du contrôle d'affranchissement | #spk4 : hm | #spk1 : dans l'arrivée du du courrier // pour le le courrier qui est ins- insuffisamment affranchi qui est à taxer // je prépare tout ça euh // pour la distribution des // préposés // je mets les surtaxes et puis // je les distribue à chaque euh chaque euh préposé et il doit encaisser la surtaxe // dont | #spk4 : hm hm,non-question
8,#spk1 : euh c'est très vague // ben // c'est du travail de // c'est difficile à  définir c'est du travail de contrôle euh // dans une // dans certaines euh // certaines branches du service euh postal quoi euh // et y y'a un peu de tout c'est difficile à  définir ça | #spk4 : hm hm // mais | #spk4 : est est-ce que vous voulez bien me décrire une journée de travail ? | #spk1 : ah une journée de travail oui // alors euh // le matin je co- je commence à  cinq heures // et // de // cinq heures à  // vous voulez des détails de de  | #spk1 spk4 : de ? // si si,k4 : tous les détails ?,#spk1 : alors de cinq heures à huit heures // je fais du contrôle d'affranchissement | #spk4 : hm | #spk1 : dans l'arrivée du du courrier // pour le le courrier qui est ins- insuffisamment affranchi qui est à taxer // je prépare tout ça euh // pour la distribution des // préposés // je mets les surtaxes et puis // je les distribue à chaque euh chaque euh préposé et il doit encaisser la surtaxe // dont | #spk4 : hm hm | #spk1 : alors euh contrôle des signatures de enfin contrôle quoi,spontané
9,#spk4 : hm | #spk1 : dans l'arrivée du du courrier // pour le le courrier qui est ins- insuffisamment affranchi qui est à  taxer // je prépare tout ça euh // pour la distribution des // préposés // je mets les surtaxes et puis // je les distribue à  chaque euh chaque euh préposé et il doit encaisser la surtaxe // dont | #spk4 : hm hm | #spk1 : alors euh contrôle des signatures de enfin contrôle quoi | #spk1 spk4 : hein // hm hm,alors c'est une journée assez longue ?,#spk1 : ah bien on fait sept heures et demie de de file quoi | #spk4 : hm hm | #spk1 : alors euh // le premi- le l- // on commence le matin // à cin- euh à cinq heures // jusqu'à midi et demi // et on recommence le lendemain de midi // à dix-neuf heures trente | #spk4 : hm hm | #spk1 : et puis ainsi de suite,spontané
10,#spk4 : hm hm | #spk1 : et puis ainsi de suite | #spk4 : hm hm | #spk1 : le surlendemain cinq heures midi et ainsi de suite | #spk4 : et,qu'est-ce qui vous plaît dans votre travail ?,#spk4 spk1 : déplait ? // ah bah | #spk1 : vous savez ça fait // ça fait trente-deux ans que je suis postier moi // j'ai | #spk1 spk4 : je suis rentré // hm | #spk1 : aux PTT en dix neuf cent trente-sept | #spk4 spk1 : et si // alors euh,préparé
11,#spk1 : et puis ainsi de suite | #spk4 : hm hm | #spk1 : le surlendemain cinq heures midi et ainsi de suite | #spk4 : et | #spk4 : qu'est-ce qui vous plaît dans votre travail ? // peut-ètre il y a quelque chose qui vous,k1 : déplait ?,#spk1 : vous savez ça fait // ça fait trente-deux ans que je suis postier moi // j'ai | #spk1 spk4 : je suis rentré // hm | #spk1 : aux PTT en dix neuf cent trente-sept | #spk4 spk1 : et si // alors euh | #spk4 :,poubelle
12,#spk1 : vous savez ça fait // ça fait trente-deux ans que je suis postier moi // j'ai  | #spk1 spk4 : je suis rentré // hm | #spk1 : aux PTT en dix neuf cent trente-sept | #spk4 spk1 : et si // alors euh | #spk4 :  ,et si vous n'étiez pas postier ?,#spk1 : ah ben ça | #spk4 spk1 : qu'est ce que vous aimeriez faire ? // euh | #spk1 : bon moi je bricole beaucoup hein ? | #spk4 : hm hm | #spk1 : la preuve c'est je viens de refaire l'appartement hein // quand vous ètes venu,préparé
13,#spk1 : aux PTT en dix neuf cent trente-sept | #spk4 spk1 : et si // alors euh | #spk4 :  | #spk4 : et si vous n'étiez pas postier ? | #spk1 : ah ben ça,k1 : qu'est ce que vous aimeriez faire ?,#spk1 : bon moi je bricole beaucoup hein ? | #spk4 : hm hm | #spk1 : la preuve c'est je viens de refaire l'appartement hein // quand vous ètes venu | #spk1 spk4 : j'étais en pleine peinture hein ? // ah | #spk1 : maintenant c'est terminé vous voyez qu'on a bien fait de retarder,préparé
14,#spk4 spk1 : et si // alors euh | #spk4 :  | #spk4 : et si vous n'étiez pas postier ? | #spk1 : ah ben ça | #spk4 spk1 : qu'est ce que vous aimeriez faire ? // euh,bon moi je bricole beaucoup hein ?,#spk4 : hm hm | #spk1 : la preuve c'est je viens de refaire l'appartement hein // quand vous ètes venu | #spk1 spk4 : j'étais en pleine peinture hein ? // ah | #spk1 : maintenant c'est terminé vous voyez qu'on a bien fait de retarder | #spk4 : hm hm // euh on,non-question
15,#spk1 : ah ben ça | #spk4 spk1 : qu'est ce que vous aimeriez faire ? // euh | #spk1 : bon moi je bricole beaucoup hein ? | #spk4 : hm hm | #spk1 : la preuve c'est je viens de refaire l'appartement hein // quand vous ètes venu,k4 : j'étais en pleine peinture hein ?,#spk1 : maintenant c'est terminé vous voyez qu'on a bien fait de retarder | #spk4 : hm hm // euh on | #spk4 : on trouve que de plus en plus de de femmes mariées travaillent aujourd'hui | #spk1 : oui | #spk4 : et vous personnellement est-ce que vous ètes pour ou contre ?,non-question
16,#spk1 spk4 : j'étais en pleine peinture hein ? // ah | #spk1 : maintenant c'est terminé vous voyez qu'on a bien fait de retarder | #spk4 : hm hm // euh on | #spk4 : on trouve que de plus en plus de de femmes mariées travaillent aujourd'hui | #spk1 : oui,et vous personnellement est-ce que vous ètes pour ou contre ?,#spk1 : non je préfèrerais que // avoir un traitement suffisant ou pour euh que la femme ne travaille pas évidemment ça c'est le but de // c'est le but général c'est le but de tout le monde ça | #spk4 : hm hm | #spk1 : d'un autre côté // l'occupation aussi c'est pas mauvais non plus // mais enfin pas ètre obligée de faire des // des journées euh // disons un travail à mi-temps par exemple pour une femme c'est // ça serait pas mal | #spk4 : hm | #spk1 : mais ètre obligée de faire des journées complètes // c'est mon point de vue hein ? // c'est ce que je cherche d'ailleurs,spontané
17,#spk4 : et vous personnellement est-ce que vous ètes pour ou contre ? | #spk1 : non je préfèrerais que // avoir un traitement suffisant ou pour euh que la femme ne travaille pas évidemment ça c'est le but de // c'est le but général c'est le but de tout le monde ça | #spk4 : hm hm | #spk1 : d'un autre côté // l'occupation aussi c'est pas mauvais non plus // mais enfin pas ètre obligée de faire des // des journées euh // disons un travail à  mi-temps par exemple pour une femme c'est // ça serait pas mal | #spk4 : hm,c'est mon point de vue hein ?,#spk4 : et | #spk4 : qu'est ce que vous faites de votre temps libre ? | #spk1 : ah bon vous savez j'ai toujours de quoi m'occuper // je bricole pas mal // je // donne un coup de main à droite à gauche quoi euh // et puis enfin maintenant moins parce que // je commence à avoir un certain âge alors quand je commence à cinq heures du matin vous savez je vais faire ma petite sieste l'après-midi | #spk4 : | #spk1 :,non-question
18,#spk4 : hm hm | #spk1 : d'un autre côté // l'occupation aussi c'est pas mauvais non plus // mais enfin pas ètre obligée de faire des // des journées euh // disons un travail à  mi-temps par exemple pour une femme c'est // ça serait pas mal | #spk4 : hm | #spk1 : mais ètre obligée de faire des journées complètes // c'est mon point de vue hein ? // c'est ce que je cherche d'ailleurs | #spk4 : et,qu'est ce que vous faites de votre temps libre ?,#spk1 : ah bon vous savez j'ai toujours de quoi m'occuper // je bricole pas mal // je // donne un coup de main à droite à gauche quoi euh // et puis enfin maintenant moins parce que // je commence à avoir un certain âge alors quand je commence à cinq heures du matin vous savez je vais faire ma petite sieste l'après-midi | #spk4 : | #spk1 : | #spk4 : et // le samedi et le dimanche ? | #spk1 : oh le samedi et le dimanche euh // principalement la pèche,préparé
19,#spk4 : et  | #spk4 : qu'est ce que vous faites de votre temps libre ? | #spk1 : ah bon vous savez j'ai toujours de quoi m'occuper // je bricole pas mal // je // donne un coup de main à  droite à  gauche quoi euh // et puis enfin maintenant moins parce que // je commence à  avoir un certain âge alors quand je commence à  cinq heures du matin vous savez je vais faire ma petite sieste l'après-midi | #spk4 :  | #spk1 :  ,le samedi et le dimanche ?,#spk1 : oh le samedi et le dimanche euh // principalement la pèche | #spk4 : et comment vous l'avez-vous passé le dimanche dernier ? | #spk1 : à la pèche justement | #spk4 : oui | #spk4 : et que ferez-vous pendant les vacances d'été ?,préparé
20,#spk1 : ah bon vous savez j'ai toujours de quoi m'occuper // je bricole pas mal // je // donne un coup de main à  droite à  gauche quoi euh // et puis enfin maintenant moins parce que // je commence à  avoir un certain âge alors quand je commence à  cinq heures du matin vous savez je vais faire ma petite sieste l'après-midi | #spk4 :  | #spk1 :  | #spk4 : et // le samedi et le dimanche ? | #spk1 : oh le samedi et le dimanche euh // principalement la pèche,et comment vous l'avez-vous passé le dimanche dernier ?,#spk1 : à la pèche justement | #spk4 : oui | #spk4 : et que ferez-vous pendant les vacances d'été ? | #spk1 : ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année // m'enfin habituellement euh les autres années on retient // on retient un hôtel au bord de la mer quoi // enfin cette année je sais pas j'ai l'impression que // on va plutôt // faire un voyage on va plutôt faire des vacances itinérantes | #spk4 : hm hm hm // pour faire la pèche ?,préparé
21,#spk4 : et // le samedi et le dimanche ? | #spk1 : oh le samedi et le dimanche euh // principalement la pèche | #spk4 : et comment vous l'avez-vous passé le dimanche dernier ? | #spk1 : à  la pèche justement | #spk4 : oui,et que ferez-vous pendant les vacances d'été ?,#spk1 : ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année // m'enfin habituellement euh les autres années on retient // on retient un hôtel au bord de la mer quoi // enfin cette année je sais pas j'ai l'impression que // on va plutôt // faire un voyage on va plutôt faire des vacances itinérantes | #spk4 : hm hm hm // pour faire la pèche ? | #spk1 spk4 : oui j- y'a toujours le matériel dans la voiture // bon | #spk4 : et si vous aviez deux heures de temps libre supplémentaire par jour // que feriez-vous de de ce temps libre ? | #spk1 : ben je me suis jamais posé la question parce que,préparé
22,#spk4 : et comment vous l'avez-vous passé le dimanche dernier ? | #spk1 : à  la pèche justement | #spk4 : oui | #spk4 : et que ferez-vous pendant les vacances d'été ? | #spk1 : ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année // m'enfin habituellement euh les autres années on retient // on retient un hôtel au bord de la mer quoi // enfin cette année je sais pas j'ai l'impression que // on va plutôt // faire un voyage on va plutôt faire des vacances itinérantes,pour faire la pèche ?,#spk1 spk4 : oui j- y'a toujours le matériel dans la voiture // bon | #spk4 : et si vous aviez deux heures de temps libre supplémentaire par jour // que feriez-vous de de ce temps libre ? | #spk1 : ben je me suis jamais posé la question parce que | #spk4 spk1 : | #spk1 : vous savez pour avoir deux heures de plus // oh puis y'a toujours moyen de s'occuper hein,spontané
23,#spk4 : oui | #spk4 : et que ferez-vous pendant les vacances d'été ? | #spk1 : ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année // m'enfin habituellement euh les autres années on retient // on retient un hôtel au bord de la mer quoi // enfin cette année je sais pas j'ai l'impression que // on va plutôt // faire un voyage on va plutôt faire des vacances itinérantes | #spk4 : hm hm hm // pour faire la pèche ? | #spk1 spk4 : oui j- y'a toujours le matériel dans la voiture // bon,que feriez-vous de de ce temps libre ?,#spk1 : ben je me suis jamais posé la question parce que | #spk4 spk1 : | #spk1 : vous savez pour avoir deux heures de plus // oh puis y'a toujours moyen de s'occuper hein | #spk4 : alors je vais vous poser quelques questions au sujet de l'enseignement // et de de des lycées et de l'é- des écoles | #spk4 :,préparé
24,#spk1 : ben je me suis jamais posé la question parce que  | #spk4 spk1 :  | #spk1 : vous savez pour avoir deux heures de plus // oh puis y'a toujours moyen de s'occuper hein | #spk4 : alors je vais vous poser quelques questions au sujet de l'enseignement // et de de des lycées et de l'é- des écoles | #spk4 :  ,à  votre avis monsieur qu'est-ce qu'on devrait apprendre surtout aux enfants ?,#spk1 : ce qu'on devrait apprendre surtout aux enfants à l'école ? | #spk4 : hm hm | #spk1 : ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien // enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai // continué à à l'école primaire supérieure | #spk4 : hm hm | #spk1 : mais // ce qui serait intéressant c'est que justement // on puisse euh // les enfants puissent apprendre de très bonne heure // euh très jeunes // une ou deux langues étrangères une au moins,préparé
25,#spk1 : ben je me suis jamais posé la question parce que  | #spk4 spk1 :  | #spk1 : vous savez pour avoir deux heures de plus // oh puis y'a toujours moyen de s'occuper hein | #spk4 : alors je vais vous poser quelques questions au sujet de l'enseignement // et de de des lycées et de l'é- des écoles | #spk4 :  ,à  l'école ?,#spk1 : ce qu'on devrait apprendre surtout aux enfants à l'école ? | #spk4 : hm hm | #spk1 : ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien // enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai // continué à à l'école primaire supérieure | #spk4 : hm hm | #spk1 : mais // ce qui serait intéressant c'est que justement // on puisse euh // les enfants puissent apprendre de très bonne heure // euh très jeunes // une ou deux langues étrangères une au moins,spontané
26,#spk4 spk1 :  | #spk1 : vous savez pour avoir deux heures de plus // oh puis y'a toujours moyen de s'occuper hein | #spk4 : alors je vais vous poser quelques questions au sujet de l'enseignement // et de de des lycées et de l'é- des écoles | #spk4 :  | #spk4 : à  votre avis monsieur qu'est-ce qu'on devrait apprendre surtout aux enfants ? // à  l'école ?,ce qu'on devrait apprendre surtout aux enfants à  l'école ?,#spk4 : hm hm | #spk1 : ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien // enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai // continué à à l'école primaire supérieure | #spk4 : hm hm | #spk1 : mais // ce qui serait intéressant c'est que justement // on puisse euh // les enfants puissent apprendre de très bonne heure // euh très jeunes // une ou deux langues étrangères une au moins | #spk4 : et pourquoi ?,préparé
