,previous_5_turn,question,next_5_turn,categorie,annotateur
0,#spk4 : monsieur | #spk4 : depuis combien de temps habitez-vous Orléans ? | #spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à  Orléans ? | #spk1 : oui et non,pourquoi ça ?,#spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais | #spk4 : et est-ce que vous comptez rester à Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 :,spontané,Valentin
1,#spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à  l'Orléanais | #spk4 : et est-ce que vous comptez rester à  Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 :  ,et qu'est ce que vous faites comme travail ?,#spk1 : je suis contrôleur divisionnaire aux PTT | #spk4 : hm hm // et en quoi ça consiste ? | #spk1 : euh c'est très vague // ben // c'est du travail de // c'est difficile à définir c'est du travail de contrôle euh // dans une // dans certaines euh // certaines branches du service euh postal quoi euh // et y y'a un peu de tout c'est difficile à définir ça | #spk4 : hm hm // mais | #spk4 : est est-ce que vous voulez bien me décrire une journée de travail ?,spontané,Valentin
2,#spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 :  | #spk4 : et qu'est ce que vous faites comme travail ? | #spk1 : je suis contrôleur divisionnaire aux PTT,et en quoi ça consiste ?,#spk1 : euh c'est très vague // ben // c'est du travail de // c'est difficile à définir c'est du travail de contrôle euh // dans une // dans certaines euh // certaines branches du service euh postal quoi euh // et y y'a un peu de tout c'est difficile à définir ça | #spk4 : hm hm // mais | #spk4 : est est-ce que vous voulez bien me décrire une journée de travail ? | #spk1 : ah une journée de travail oui // alors euh // le matin je co- je commence à cinq heures // et // de // cinq heures à // vous voulez des détails de de | #spk1 spk4 : de ? // si si,spontané,Valentin
3,#spk1 : euh c'est très vague // ben // c'est du travail de // c'est difficile à  définir c'est du travail de contrôle euh // dans une // dans certaines euh // certaines branches du service euh postal quoi euh // et y y'a un peu de tout c'est difficile à  définir ça | #spk4 : hm hm // mais | #spk4 : est est-ce que vous voulez bien me décrire une journée de travail ? | #spk1 : ah une journée de travail oui // alors euh // le matin je co- je commence à  cinq heures // et // de // cinq heures à  // vous voulez des détails de de  | #spk1 spk4 : de ? // si si,k4 : tous les détails ?,#spk1 : alors de cinq heures à huit heures // je fais du contrôle d'affranchissement | #spk4 : hm | #spk1 : dans l'arrivée du du courrier // pour le le courrier qui est ins- insuffisamment affranchi qui est à taxer // je prépare tout ça euh // pour la distribution des // préposés // je mets les surtaxes et puis // je les distribue à chaque euh chaque euh préposé et il doit encaisser la surtaxe // dont | #spk4 : hm hm | #spk1 : alors euh contrôle des signatures de enfin contrôle quoi,spontané,Valentin
4,#spk4 : hm | #spk1 : dans l'arrivée du du courrier // pour le le courrier qui est ins- insuffisamment affranchi qui est à  taxer // je prépare tout ça euh // pour la distribution des // préposés // je mets les surtaxes et puis // je les distribue à  chaque euh chaque euh préposé et il doit encaisser la surtaxe // dont | #spk4 : hm hm | #spk1 : alors euh contrôle des signatures de enfin contrôle quoi | #spk1 spk4 : hein // hm hm,alors c'est une journée assez longue ?,#spk1 : ah bien on fait sept heures et demie de de file quoi | #spk4 : hm hm | #spk1 : alors euh // le premi- le l- // on commence le matin // à cin- euh à cinq heures // jusqu'à midi et demi // et on recommence le lendemain de midi // à dix-neuf heures trente | #spk4 : hm hm | #spk1 : et puis ainsi de suite,spontané,Valentin
5,#spk1 spk4 : j'étais en pleine peinture hein ? // ah | #spk1 : maintenant c'est terminé vous voyez qu'on a bien fait de retarder | #spk4 : hm hm // euh on | #spk4 : on trouve que de plus en plus de de femmes mariées travaillent aujourd'hui | #spk1 : oui,et vous personnellement est-ce que vous ètes pour ou contre ?,#spk1 : non je préfèrerais que // avoir un traitement suffisant ou pour euh que la femme ne travaille pas évidemment ça c'est le but de // c'est le but général c'est le but de tout le monde ça | #spk4 : hm hm | #spk1 : d'un autre côté // l'occupation aussi c'est pas mauvais non plus // mais enfin pas ètre obligée de faire des // des journées euh // disons un travail à mi-temps par exemple pour une femme c'est // ça serait pas mal | #spk4 : hm | #spk1 : mais ètre obligée de faire des journées complètes // c'est mon point de vue hein ? // c'est ce que je cherche d'ailleurs,spontané,Valentin
6,#spk4 : et comment vous l'avez-vous passé le dimanche dernier ? | #spk1 : à  la pèche justement | #spk4 : oui | #spk4 : et que ferez-vous pendant les vacances d'été ? | #spk1 : ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année // m'enfin habituellement euh les autres années on retient // on retient un hôtel au bord de la mer quoi // enfin cette année je sais pas j'ai l'impression que // on va plutôt // faire un voyage on va plutôt faire des vacances itinérantes,pour faire la pèche ?,#spk1 spk4 : oui j- y'a toujours le matériel dans la voiture // bon | #spk4 : et si vous aviez deux heures de temps libre supplémentaire par jour // que feriez-vous de de ce temps libre ? | #spk1 : ben je me suis jamais posé la question parce que | #spk4 spk1 : | #spk1 : vous savez pour avoir deux heures de plus // oh puis y'a toujours moyen de s'occuper hein,spontané,Valentin
7,#spk1 : ben je me suis jamais posé la question parce que  | #spk4 spk1 :  | #spk1 : vous savez pour avoir deux heures de plus // oh puis y'a toujours moyen de s'occuper hein | #spk4 : alors je vais vous poser quelques questions au sujet de l'enseignement // et de de des lycées et de l'é- des écoles | #spk4 :  ,à  l'école ?,#spk1 : ce qu'on devrait apprendre surtout aux enfants à l'école ? | #spk4 : hm hm | #spk1 : ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien // enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai // continué à à l'école primaire supérieure | #spk4 : hm hm | #spk1 : mais // ce qui serait intéressant c'est que justement // on puisse euh // les enfants puissent apprendre de très bonne heure // euh très jeunes // une ou deux langues étrangères une au moins,spontané,Valentin
8,#spk4 : et jusqu'à  quel âge est-ce qu'il faudrait que les enfants // continuent leurs études ? | #spk1 : ben je crois que ben le plus longtemps possible | #spk4 : hm | #spk4 : est-ce que la mème chose pour les garçons et les filles ? | #spk1 : oui // y'a pas de raison,et pourquoi est-ce que vous dites le plus longtemps possible ?,#spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 : | #spk4 : et pour revenir euh à la ville d'Orléans // est-ce que d'après vous // on fait assez pour les habitants ? // à Orléans ? | #spk1 : ben en quel sens ? | #spk4 : bon // c'est-à -dire euh on on dit // bon est-ce qu'on fait assez pour les les habitants ? // peut-ètre la municipalité ou les autorités // n'importe qui,spontané,Valentin
9,#spk1 : oui // y'a pas de raison | #spk4 : et pourquoi est-ce que vous dites le plus longtemps possible ? | #spk1 : ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu | #spk1 :  | #spk4 : et pour revenir euh à  la ville d'Orléans // est-ce que d'après vous // on fait assez pour les habitants ? // à  Orléans ?,ben en quel sens ?,#spk4 : bon // c'est-à -dire euh on on dit // bon est-ce qu'on fait assez pour les les habitants ? // peut-ètre la municipalité ou les autorités // n'importe qui | #spk1 : oh vous savez y'a pas à se plaindre c'est pas // y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein | #spk4 : hm hm // alors j'ai une question que je vais vous poser // c'est de parler des événements de mai dernier | #spk1 : oui | #spk4 : moi // je n'étais pas en France à l'époque,spontané,Valentin
